pack:0 ax, -0.0407867 ay, 0.29689 az, 9.73965
GoogleYaw, -1.03501 GooglePitch, -0.0258792 GoogleRoll, 0.00353166
pack:0 ax, -0.0455475 ay, 0.282608 az, 9.83011
GoogleYaw, -1.03501 GooglePitch, -0.0258792 GoogleRoll, 0.00353166
pack:0 ax, -0.0455475 ay, 0.282608 az, 9.83011
GoogleYaw, -1.03531 GooglePitch, -0.026054 GoogleRoll, 0.00355175
pack:0 ax, -0.0241241 ay, 0.246902 az, 9.73013
GoogleYaw, -1.03531 GooglePitch, -0.026054 GoogleRoll, 0.00355175
pack:0 ax, -0.0241241 ay, 0.246902 az, 9.73013
GoogleYaw, -1.03553 GooglePitch, -0.0261767 GoogleRoll, 0.00356555
pack:0 ax, -0.790604 ay, -0.317245 az, 11.632
GoogleYaw, -1.03553 GooglePitch, -0.0261767 GoogleRoll, 0.00356555
pack:0 ax, -0.790604 ay, -0.317245 az, 11.632
GoogleYaw, -1.03535 GooglePitch, -0.0249697 GoogleRoll, 0.00701182
pack:0 ax, -0.150284 ay, 0.235001 az, 8.45663
GoogleYaw, -1.03535 GooglePitch, -0.0249697 GoogleRoll, 0.00701182
pack:0 ax, -0.150284 ay, 0.235001 az, 8.45663
GoogleYaw, -1.03498 GooglePitch, -0.0215924 GoogleRoll, 0.0128904
pack:0 ax, -0.0479279 ay, 0.242142 az, 10.0777
GoogleYaw, -1.03498 GooglePitch, -0.0215924 GoogleRoll, 0.0128904
pack:0 ax, -0.0479279 ay, 0.242142 az, 10.0777
GoogleYaw, -1.03534 GooglePitch, -0.0215846 GoogleRoll, 0.0122737
pack:0 ax, 1.20415 ay, 1.27998 az, 9.72775
GoogleYaw, -1.03534 GooglePitch, -0.0215846 GoogleRoll, 0.0122737
pack:0 ax, 1.20415 ay, 1.27998 az, 9.72775
GoogleYaw, -1.03453 GooglePitch, -0.0216152 GoogleRoll, 0.0111288
pack:0 ax, 0.954208 ay, 1.59419 az, 9.63968
GoogleYaw, -1.03453 GooglePitch, -0.0216152 GoogleRoll, 0.0111288
pack:0 ax, 0.954208 ay, 1.59419 az, 9.63968
GoogleYaw, -1.02309 GooglePitch, -0.0221131 GoogleRoll, 0.0106082
pack:0 ax, 0.801865 ay, 1.08955 az, 9.97769
GoogleYaw, -0.992359 GooglePitch, -0.0226501 GoogleRoll, 0.0108537
pack:0 ax, 0.778061 ay, 0.651566 az, 9.76346
GoogleYaw, -0.992359 GooglePitch, -0.0226501 GoogleRoll, 0.0108537
pack:0 ax, 0.778061 ay, 0.651566 az, 9.76346
GoogleYaw, -0.992359 GooglePitch, -0.0226501 GoogleRoll, 0.0108537
pack:0 ax, 0.778061 ay, 0.651566 az, 9.76346
GoogleYaw, -0.948332 GooglePitch, -0.0228709 GoogleRoll, 0.0117162
pack:0 ax, 0.778061 ay, 0.651566 az, 9.76346
GoogleYaw, -0.948332 GooglePitch, -0.0228709 GoogleRoll, 0.0117162
pack:0 ax, -7.49611 ay, -8.29625 az, 11.5368
GoogleYaw, -0.948332 GooglePitch, -0.0228709 GoogleRoll, 0.0117162
pack:0 ax, -7.49611 ay, -8.29625 az, 11.5368
