GoogleYaw, 0.0529787 GooglePitch, -0.777198 GoogleRoll, -0.826506
pack:0 ax, 3.73686 ay, 5.71461 az, 2.68185
GoogleYaw, 0.0529787 GooglePitch, -0.777198 GoogleRoll, -0.826506
pack:0 ax, 3.73686 ay, 5.71461 az, 2.68185
GoogleYaw, 0.0529787 GooglePitch, -0.777198 GoogleRoll, -0.826506
pack:0 ax, 3.73686 ay, 5.71461 az, 2.68185
GoogleYaw, 0.0529787 GooglePitch, -0.777198 GoogleRoll, -0.826506
pack:0 ax, 3.73686 ay, 5.71461 az, 2.68185
GoogleYaw, 0.00423107 GooglePitch, -0.83135 GoogleRoll, -0.928893
pack:0 ax, 3.4655 ay, 5.4742 az, 3.31741
GoogleYaw, 0.00423107 GooglePitch, -0.83135 GoogleRoll, -0.928893
pack:0 ax, 3.4655 ay, 5.4742 az, 3.31741
GoogleYaw, 0.00423107 GooglePitch, -0.83135 GoogleRoll, -0.928893
pack:0 ax, 3.4655 ay, 5.4742 az, 3.31741
GoogleYaw, 0.00423107 GooglePitch, -0.83135 GoogleRoll, -0.928893
pack:0 ax, 3.4655 ay, 5.4742 az, 3.31741
GoogleYaw, -0.0597882 GooglePitch, -0.878091 GoogleRoll, -1.05902
pack:0 ax, 2.83232 ay, 5.26472 az, 2.47714
GoogleYaw, -0.0597882 GooglePitch, -0.878091 GoogleRoll, -1.05902
pack:0 ax, 2.83232 ay, 5.26472 az, 2.47714
GoogleYaw, -0.14493 GooglePitch, -0.917571 GoogleRoll, -1.21238
pack:0 ax, 2.83232 ay, 5.26472 az, 2.47714
GoogleYaw, -0.14493 GooglePitch, -0.917571 GoogleRoll, -1.21238
pack:0 ax, 2.83232 ay, 5.26472 az, 2.47714
GoogleYaw, -0.14493 GooglePitch, -0.917571 GoogleRoll, -1.21238
pack:0 ax, 2.77995 ay, 5.89552 az, 0.763275
GoogleYaw, -0.14493 GooglePitch, -0.917571 GoogleRoll, -1.21238
pack:0 ax, 2.77995 ay, 5.89552 az, 0.763275
GoogleYaw, -0.14493 GooglePitch, -0.917571 GoogleRoll, -1.21238
pack:0 ax, 2.77995 ay, 5.89552 az, 0.763275
GoogleYaw, -0.14493 GooglePitch, -0.917571 GoogleRoll, -1.21238
pack:0 ax, 2.77995 ay, 5.89552 az, 0.763275
GoogleYaw, -0.251783 GooglePitch, -0.944879 GoogleRoll, -1.38553
pack:0 ax, 3.06798 ay, 5.8503 az, 0.446686
GoogleYaw, -0.251783 GooglePitch, -0.944879 GoogleRoll, -1.38553
pack:0 ax, 3.06798 ay, 5.8503 az, 0.446686
GoogleYaw, -0.37081 GooglePitch, -0.955341 GoogleRoll, -1.57098
pack:0 ax, 3.06798 ay, 5.8503 az, 0.446686
GoogleYaw, -0.37081 GooglePitch, -0.955341 GoogleRoll, -1.57098
pack:0 ax, 3.06798 ay, 5.8503 az, 0.446686
GoogleYaw, -0.37081 GooglePitch, -0.955341 GoogleRoll, -1.57098
