GoogleYaw, -0.896342 GooglePitch, -0.0270951 GoogleRoll, 0.00353951
pack:0 ax, -0.00746155 ay, 0.244522 az, 9.74442
GoogleYaw, -0.896342 GooglePitch, -0.0270951 GoogleRoll, 0.00353951
pack:0 ax, -0.00746155 ay, 0.244522 az, 9.74442
GoogleYaw, -0.896253 GooglePitch, -0.0270442 GoogleRoll, 0.00352495
pack:0 ax, -0.055069 ay, 0.242142 az, 9.73013
GoogleYaw, -0.89604 GooglePitch, -0.0269771 GoogleRoll, 0.00341954
pack:0 ax, -0.0431671 ay, 0.244522 az, 9.73251
GoogleYaw, -0.89604 GooglePitch, -0.0269771 GoogleRoll, 0.00341954
pack:0 ax, -0.0431671 ay, 0.244522 az, 9.73251
GoogleYaw, -0.89604 GooglePitch, -0.0269771 GoogleRoll, 0.00341954
pack:0 ax, -0.0431671 ay, 0.244522 az, 9.73251
GoogleYaw, -0.896047 GooglePitch, -0.0269261 GoogleRoll, 0.00349098
pack:0 ax, -0.0431671 ay, 0.244522 az, 9.73251
GoogleYaw, -0.896047 GooglePitch, -0.0269261 GoogleRoll, 0.00349098
pack:0 ax, -0.0217438 ay, 0.263565 az, 9.7587
GoogleYaw, -0.896047 GooglePitch, -0.0269261 GoogleRoll, 0.00349098
pack:0 ax, -0.0217438 ay, 0.263565 az, 9.7587
GoogleYaw, -0.896047 GooglePitch, -0.0269261 GoogleRoll, 0.00349098
pack:0 ax, -0.0217438 ay, 0.263565 az, 9.7587
GoogleYaw, -0.896047 GooglePitch, -0.0269261 GoogleRoll, 0.00349098
pack:0 ax, -0.0217438 ay, 0.263565 az, 9.7587
GoogleYaw, -0.896042 GooglePitch, -0.0268844 GoogleRoll, 0.00353986
pack:0 ax, -0.0288849 ay, 0.265945 az, 9.70395
GoogleYaw, -0.896042 GooglePitch, -0.0268844 GoogleRoll, 0.00353986
pack:0 ax, -0.0288849 ay, 0.265945 az, 9.70395
GoogleYaw, -0.896016 GooglePitch, -0.0268862 GoogleRoll, 0.00351402
pack:0 ax, -0.0288849 ay, 0.265945 az, 9.70395
GoogleYaw, -0.896016 GooglePitch, -0.0268862 GoogleRoll, 0.00351402
pack:0 ax, -0.0288849 ay, 0.265945 az, 9.70395
GoogleYaw, -0.896016 GooglePitch, -0.0268862 GoogleRoll, 0.00351402
pack:0 ax, -0.055069 ay, 0.23262 az, 9.8063
GoogleYaw, -0.896016 GooglePitch, -0.0268862 GoogleRoll, 0.00351402
pack:0 ax, -0.055069 ay, 0.23262 az, 9.8063
GoogleYaw, -0.895999 GooglePitch, -0.0268909 GoogleRoll, 0.00349353
pack:0 ax, -0.0431671 ay, 0.275467 az, 9.79678
GoogleYaw, -0.895898 GooglePitch, -0.0267825 GoogleRoll, 0.003541
pack:0 ax, -0.0741119 ay, 0.265945 az, 9.72537
GoogleYaw, -0.895898 GooglePitch, -0.0267825 GoogleRoll, 0.003541
