GoogleYaw, -0.895146 GooglePitch, -0.0265288 GoogleRoll, 0.00319164
pack:0 ax, -0.0645905 ay, 0.258804 az, 9.74442
GoogleYaw, -0.895146 GooglePitch, -0.0265288 GoogleRoll, 0.00319164
pack:0 ax, -0.0645905 ay, 0.258804 az, 9.74442
GoogleYaw, -0.895146 GooglePitch, -0.0265288 GoogleRoll, 0.00319164
pack:0 ax, -0.0645905 ay, 0.258804 az, 9.74442
GoogleYaw, -0.895146 GooglePitch, -0.0265288 GoogleRoll, 0.00319164
pack:0 ax, -0.0645905 ay, 0.258804 az, 9.74442
GoogleYaw, -0.895225 GooglePitch, -0.0265717 GoogleRoll, 0.00320774
pack:0 ax, -0.0312653 ay, 0.249283 az, 9.73013
GoogleYaw, -0.895225 GooglePitch, -0.0265717 GoogleRoll, 0.00320774
pack:0 ax, -0.0312653 ay, 0.249283 az, 9.73013
GoogleYaw, -0.895331 GooglePitch, -0.0265587 GoogleRoll, 0.00331862
pack:0 ax, -0.0265045 ay, 0.261185 az, 9.74442
GoogleYaw, -0.895261 GooglePitch, -0.0265149 GoogleRoll, 0.00331214
pack:0 ax, -0.0455475 ay, 0.268326 az, 9.68253
GoogleYaw, -0.895261 GooglePitch, -0.0265149 GoogleRoll, 0.00331214
pack:0 ax, -0.0455475 ay, 0.268326 az, 9.68253
GoogleYaw, -0.895246 GooglePitch, -0.0265223 GoogleRoll, 0.00328958
pack:0 ax, -0.0455475 ay, 0.268326 az, 9.68253
GoogleYaw, -0.895246 GooglePitch, -0.0265223 GoogleRoll, 0.00328958
pack:0 ax, -0.0455475 ay, 0.268326 az, 9.68253
GoogleYaw, -0.895246 GooglePitch, -0.0265223 GoogleRoll, 0.00328958
pack:0 ax, -0.0455475 ay, 0.256424 az, 9.78012
GoogleYaw, -0.895246 GooglePitch, -0.0265223 GoogleRoll, 0.00328958
pack:0 ax, -0.0455475 ay, 0.256424 az, 9.78012
GoogleYaw, -0.895246 GooglePitch, -0.0265223 GoogleRoll, 0.00328958
pack:0 ax, -0.0455475 ay, 0.256424 az, 9.78012
GoogleYaw, -0.895246 GooglePitch, -0.0265223 GoogleRoll, 0.00328958
pack:0 ax, -0.0455475 ay, 0.256424 az, 9.78012
GoogleYaw, -0.895348 GooglePitch, -0.0265594 GoogleRoll, 0.00333319
pack:0 ax, -0.0146027 ay, 0.270706 az, 9.73489
GoogleYaw, -0.895348 GooglePitch, -0.0265594 GoogleRoll, 0.00333319
pack:0 ax, -0.0146027 ay, 0.270706 az, 9.73489
GoogleYaw, -0.895348 GooglePitch, -0.0265594 GoogleRoll, 0.00333319
pack:0 ax, -0.0146027 ay, 0.270706 az, 9.73489
GoogleYaw, -0.895348 GooglePitch, -0.0265594 GoogleRoll, 0.00333319
pack:0 ax, -0.0146027 ay, 0.270706 az, 9.73489
GoogleYaw, -0.895358 GooglePitch, -0.0265348 GoogleRoll, 0.0033734
